target_name	accession	e_value	score	description
sp|O13061|VSPB_CRAGM	-	4.1	12.7	Snake venom serine protease 2B OS=Craspedocephalus gramineus OX=8767 GN=TLG2B PE=2 SV=1
sp|Q6T5L0|VSPSH_GLOSH	-	4.3	12.7	Alpha-fibrinogenase shedaoenase OS=Gloydius shedaoensis OX=88083 PE=1 SV=2
sp|Q8JH85|VSPA_MACLB	-	4.3	12.6	Alpha-fibrinogenase OS=Macrovipera lebetinus OX=3148341 PE=1 SV=1
sp|Q9YGI6|VSP2_GLOHA	-	4.3	12.6	Snake venom serine protease pallabin-2 OS=Gloydius halys OX=8714 GN=JZTHR7 PE=2 SV=1
sp|O93421|VSPPE_GLOHA	-	4.3	12.6	Snake venom serine protease pallase OS=Gloydius halys OX=8714 PE=2 SV=2
sp|A0A0C4DH73|KV112_HUMAN	-	4.4	12.6	Immunoglobulin kappa variable 1-12 OS=Homo sapiens OX=9606 GN=IGKV1-12 PE=3 SV=1
sp|P01611|KVD12_HUMAN	-	4.4	12.6	Immunoglobulin kappa variable 1D-12 OS=Homo sapiens OX=9606 GN=IGKV1D-12 PE=1 SV=2
sp|E5RG02|PRS46_HUMAN	-	4.7	12.5	Putative serine protease 46 OS=Homo sapiens OX=9606 GN=PRSS46P PE=3 SV=1
sp|A0A0C4DH69|KV109_HUMAN	-	4.8	12.5	Immunoglobulin kappa variable 1-9 OS=Homo sapiens OX=9606 GN=IGKV1-9 PE=1 SV=1
sp|P14272|KLKB1_RAT	-	4.9	12.5	Plasma kallikrein OS=Rattus norvegicus OX=10116 GN=Klkb1 PE=1 SV=1
sp|Q90812|CRFR1_CHICK	-	6.2	12.1	Corticotropin-releasing factor receptor 1 OS=Gallus gallus OX=9031 GN=CRHR1 PE=3 SV=1
sp|Q90321|MP2K2_CYPCA	-	6.4	12.1	Dual specificity mitogen-activated protein kinase kinase 2 OS=Cyprinus carpio OX=7962 GN=map2k2 PE=2 SV=1
sp|Q8WPG5|KUNI_ORNKA	-	240.0	7.0	Thrombin inhibitor savignin OS=Ornithodoros kalahariensis OX=1580572 PE=1 SV=1
sp|P56409|KUNI_ORNMO	-	740.0	5.5	Ornithodorin OS=Ornithodoros moubata OX=6938 PE=1 SV=1
